match_id,match_end_id,id,game,end,hteam,nhteam,powerplay,strength_diff,h_before,nh_before,h_during,nh_during,h_after,nh_after,h_offensive_shots,h_defensive_shots,h_classified_shots,h_offensive_shot_rate,score_diff_before,strength_diff_z,outcome,score_diff_grp,end_grp
WMDCC2016_1,WMDCC2016_1_1,WMDCC2016,1,1,CHN-China,RCF-Rcf,0,0.008644421456548423,0,0,1.0,0.0,1,0,3,2,5,0.6,0,0.19146707204643412,1,tied,<=6
WMDCC2016_1,WMDCC2016_1_2,WMDCC2016,1,2,RCF-Rcf,CHN-China,0,-0.008644421456548423,0,1,3.0,0.0,3,1,3,2,5,0.6,-1,-0.012593198911999294,2+,trailing,<=6
WMDCC2016_1,WMDCC2016_1_3,WMDCC2016,1,3,CHN-China,RCF-Rcf,0,0.008644421456548423,1,3,1.0,0.0,2,3,3,2,5,0.6,-2,0.19146707204643412,1,trailing,<=6
WMDCC2016_1,WMDCC2016_1_4,WMDCC2016,1,4,RCF-Rcf,CHN-China,0,-0.008644421456548423,3,2,2.0,0.0,5,2,4,1,5,0.8,1,-0.012593198911999294,2+,leading,<=6
WMDCC2016_1,WMDCC2016_1_5,WMDCC2016,1,5,CHN-China,RCF-Rcf,1,0.008644421456548423,2,5,1.0,0.0,3,5,4,1,5,0.8,-3,0.19146707204643412,1,trailing,<=6
WMDCC2016_1,WMDCC2016_1_6,WMDCC2016,1,6,RCF-Rcf,CHN-China,0,-0.008644421456548423,5,3,1.0,0.0,6,3,2,3,5,0.4,2,-0.012593198911999294,1,leading,<=6
WMDCC2016_1,WMDCC2016_1_7,WMDCC2016,1,7,CHN-China,RCF-Rcf,0,0.008644421456548423,3,6,2.0,0.0,5,6,2,3,5,0.4,-3,0.19146707204643412,2+,trailing,>=7
WMDCC2016_1,WMDCC2016_1_8,WMDCC2016,1,8,RCF-Rcf,CHN-China,1,-0.008644421456548423,6,5,1.0,0.0,7,5,2,3,5,0.4,1,-0.012593198911999294,1,leading,>=7
WMDCC2016_2,WMDCC2016_2_1,WMDCC2016,2,1,USA-UnitedStates,SCO-Scotland,0,-0.036044914243708814,0,0,1.0,0.0,1,0,2,3,5,0.4,0,-0.33600130728846694,1,tied,<=6
WMDCC2016_2,WMDCC2016_2_2,WMDCC2016,2,2,SCO-Scotland,USA-UnitedStates,0,0.036044914243708814,0,1,3.0,0.0,3,1,4,1,5,0.8,-1,0.5148751804229017,2+,trailing,<=6
WMDCC2016_2,WMDCC2016_2_3,WMDCC2016,2,3,USA-UnitedStates,SCO-Scotland,0,-0.036044914243708814,1,3,4.0,0.0,5,3,2,3,5,0.4,-2,-0.33600130728846694,2+,trailing,<=6
WMDCC2016_2,WMDCC2016_2_4,WMDCC2016,2,4,SCO-Scotland,USA-UnitedStates,0,0.036044914243708814,3,5,0.0,2.0,3,7,4,1,5,0.8,-2,0.5148751804229017,0,trailing,<=6
WMDCC2016_2,WMDCC2016_2_5,WMDCC2016,2,5,SCO-Scotland,USA-UnitedStates,1,0.036044914243708814,3,7,3.0,0.0,6,7,4,1,5,0.8,-4,0.5148751804229017,2+,trailing,<=6
WMDCC2016_2,WMDCC2016_2_6,WMDCC2016,2,6,USA-UnitedStates,SCO-Scotland,1,-0.036044914243708814,7,6,0.0,1.0,7,7,3,2,5,0.6,1,-0.33600130728846694,0,leading,<=6
WMDCC2016_2,WMDCC2016_2_7,WMDCC2016,2,7,USA-UnitedStates,SCO-Scotland,0,-0.036044914243708814,7,7,1.0,0.0,8,7,4,1,5,0.8,0,-0.33600130728846694,1,tied,>=7
WMDCC2016_2,WMDCC2016_2_8,WMDCC2016,2,8,SCO-Scotland,USA-UnitedStates,0,0.036044914243708814,7,8,0.0,1.0,7,9,3,2,5,0.6,-1,0.5148751804229017,0,trailing,>=7
WMDCC2016_3,WMDCC2016_3_1,WMDCC2016,3,1,EST-Estonia,CAN-Canada,0,-0.0998064080198881,0,0,0.0,1.0,0,1,2,3,5,0.4,0,-1.088578432436919,0,tied,<=6
WMDCC2016_3,WMDCC2016_3_2,WMDCC2016,3,2,EST-Estonia,CAN-Canada,0,-0.0998064080198881,0,1,0.0,3.0,0,4,3,2,5,0.6,-1,-1.088578432436919,0,trailing,<=6
WMDCC2016_3,WMDCC2016_3_3,WMDCC2016,3,3,EST-Estonia,CAN-Canada,1,-0.0998064080198881,0,4,2.0,0.0,2,4,2,3,5,0.4,-4,-1.088578432436919,2+,trailing,<=6
WMDCC2016_3,WMDCC2016_3_4,WMDCC2016,3,4,CAN-Canada,EST-Estonia,0,0.0998064080198881,4,2,2.0,0.0,6,2,1,4,5,0.2,2,1.2674523055713536,2+,leading,<=6
WMDCC2016_3,WMDCC2016_3_5,WMDCC2016,3,5,EST-Estonia,CAN-Canada,0,-0.0998064080198881,2,6,0.0,1.0,2,7,3,2,5,0.6,-4,-1.088578432436919,0,trailing,<=6
WMDCC2016_3,WMDCC2016_3_6,WMDCC2016,3,6,EST-Estonia,CAN-Canada,0,-0.0998064080198881,2,7,0.0,1.0,2,8,2,3,5,0.4,-5,-1.088578432436919,0,trailing,<=6
WMDCC2016_4,WMDCC2016_4_1,WMDCC2016,4,1,FIN-Finland,ENG-England,0,0.050710377721041144,0,0,1.0,0.0,1,0,5,0,5,1.0,0,0.6879716950918172,1,tied,<=6
WMDCC2016_4,WMDCC2016_4_2,WMDCC2016,4,2,ENG-England,FIN-Finland,0,-0.050710377721041144,0,1,0.0,1.0,0,2,2,3,5,0.4,-1,-0.5090978219573824,0,trailing,<=6
WMDCC2016_4,WMDCC2016_4_3,WMDCC2016,4,3,ENG-England,FIN-Finland,0,-0.050710377721041144,0,2,0.0,1.0,0,3,1,4,5,0.2,-2,-0.5090978219573824,0,trailing,<=6
WMDCC2016_4,WMDCC2016_4_4,WMDCC2016,4,4,ENG-England,FIN-Finland,0,-0.050710377721041144,0,3,0.0,1.0,0,4,3,2,5,0.6,-3,-0.5090978219573824,0,trailing,<=6
WMDCC2016_4,WMDCC2016_4_5,WMDCC2016,4,5,ENG-England,FIN-Finland,1,-0.050710377721041144,0,4,0.0,1.0,0,5,4,1,5,0.8,-4,-0.5090978219573824,0,trailing,<=6
WMDCC2016_4,WMDCC2016_4_6,WMDCC2016,4,6,ENG-England,FIN-Finland,0,-0.050710377721041144,0,5,0.0,1.0,0,6,4,1,5,0.8,-5,-0.5090978219573824,0,trailing,<=6
WMDCC2016_4,WMDCC2016_4_7,WMDCC2016,4,7,ENG-England,FIN-Finland,0,-0.050710377721041144,0,6,3.0,0.0,3,6,5,0,5,1.0,-6,-0.5090978219573824,2+,trailing,>=7
